Datum;Eroeffnung;Hoch;Tief;Schluss;Volumen
  05.07.2018;20,21;20,57;20,15;20,33;113.500
  06.07.2018;20,36;20,38;19,80;20,06;226.619
  09.07.2018;20,22;20,80;20,13;20,70;173.334
  10.07.2018;20,75;20,94;20,19;20,44;207.651
  11.07.2018;20,30;20,53;20,03;20,12;136.754
  12.07.2018;20,25;20,29;19,90;20,15;280.249
  13.07.2018;20,19;20,65;20,15;20,59;236.036
  16.07.2018;20,64;20,64;20,21;20,59;240.698
  17.07.2018;20,61;20,83;20,37;20,57;154.564
  18.07.2018;20,61;21,48;20,57;21,41;251.100
  19.07.2018;21,38;21,52;21,10;21,30;175.204
  20.07.2018;21,33;21,40;20,69;21,22;238.826
  23.07.2018;21,43;21,43;20,58;20,84;222.733
  24.07.2018;20,92;21,33;20,88;21,07;153.081
  25.07.2018;21,02;21,15;20,78;21,11;113.639
  26.07.2018;21,19;21,74;21,05;21,60;260.533
  27.07.2018;21,65;22,04;21,55;21,85;231.718
  30.07.2018;21,96;22,40;21,86;22,28;230.424
  31.07.2018;22,44;24,19;22,43;23,98;681.378
  01.08.2018;24,09;24,45;23,33;23,75;282.166
  02.08.2018;23,73;23,76;23,41;23,55;167.907
  03.08.2018;23,60;23,70;23,02;23,27;126.862
  06.08.2018;23,39;23,41;22,97;23,07;119.995
  07.08.2018;23,12;23,42;23,05;23,10;95.249
  08.08.2018;23,18;23,40;23,07;23,37;86.253
  09.08.2018;23,39;23,45;22,74;23,14;183.471
  10.08.2018;23,09;23,16;22,71;22,80;105.644
  13.08.2018;22,69;23,09;22,64;22,98;93.977
  14.08.2018;23,02;23,26;22,94;23,11;93.745
  15.08.2018;23,05;23,32;22,66;22,72;77.158
  16.08.2018;22,85;23,27;22,75;23,14;114.329
  17.08.2018;23,24;23,24;22,87;23,15;49.467
  20.08.2018;23,18;23,55;23,08;23,36;105.554
  21.08.2018;23,45;23,95;23,33;23,65;202.657
  22.08.2018;23,60;23,66;23,29;23,39;116.187
  23.08.2018;23,37;23,49;23,13;23,34;106.288
  24.08.2018;23,35;23,63;23,30;23,50;101.846
  27.08.2018;23,62;23,98;23,59;23,93;143.370
  28.08.2018;23,97;23,99;23,79;23,85;77.116
  29.08.2018;23,92;23,95;23,64;23,80;92.623
  30.08.2018;23,79;23,79;23,05;23,10;269.699
  31.08.2018;23,15;23,20;21,94;22,54;325.340
  03.09.2018;22,50;22,66;22,30;22,60;94.868
  04.09.2018;22,64;22,91;22,14;22,41;105.804
  05.09.2018;22,42;22,77;22,25;22,50;105.152
  06.09.2018;22,51;22,56;22,24;22,36;75.844
  07.09.2018;22,33;22,46;21,85;22,21;104.211
  10.09.2018;22,13;22,40;22,00;22,30;55.608
  11.09.2018;22,33;22,36;21,95;22,11;86.909
  12.09.2018;22,14;22,52;22,06;22,47;91.023
  13.09.2018;22,52;22,55;22,33;22,46;74.059
  14.09.2018;22,50;22,80;22,50;22,68;73.459
  17.09.2018;22,65;22,98;22,57;22,79;87.290
  18.09.2018;22,77;23,14;22,77;22,94;36.919
  19.09.2018;22,90;23,31;22,90;23,18;48.491
  20.09.2018;23,13;23,48;23,04;23,28;117.201
  21.09.2018;23,31;23,52;23,19;23,21;107.691
  24.09.2018;23,24;23,29;22,94;23,06;120.428
  25.09.2018;23,02;23,12;21,75;21,90;420.476
  26.09.2018;21,97;22,15;21,30;22,04;171.552
  27.09.2018;21,73;21,80;21,07;21,17;290.987
  28.09.2018;21,30;21,31;20,76;21,07;119.851
