Datum;Eröffnung;Schluss;Hoch;Tief
09.07.2021;77,85;79,50;79,74;77,55
08.07.2021;76,36;77,58;77,91;76,01
07.07.2021;78,11;76,75;79,19;76,53
06.07.2021;78,99;77,88;80,08;77,69
05.07.2021;76,48;79,09;79,82;76,43
02.07.2021;76,57;76,55;76,96;76,08
01.07.2021;74,56;76,36;76,51;74,56
30.06.2021;73,67;74,14;74,34;71,73
29.06.2021;74,70;73,76;75,32;72,52
28.06.2021;76,71;74,80;76,94;74,30
25.06.2021;76,67;76,64;77,62;76,08
24.06.2021;76,49;76,64;77,81;76,15
23.06.2021;78,80;76,25;78,86;75,69
22.06.2021;79,59;78,61;80,10;78,54
21.06.2021;79,59;79,71;79,76;77,74
18.06.2021;80,73;80,07;81,74;79,10
17.06.2021;80,55;80,76;82,43;79,98
16.06.2021;80,32;80,92;81,82;79,25
15.06.2021;83,12;80,22;83,72;80,12
14.06.2021;83,15;82,77;84,38;82,70
11.06.2021;82,32;82,98;83,11;81,84
10.06.2021;84,26;82,30;84,58;82,06
09.06.2021;82,20;84,12;85,34;82,13
08.06.2021;83,98;82,22;84,04;80,93
07.06.2021;83,31;83,99;84,16;82,15
04.06.2021;83,97;83,42;84,37;82,93
03.06.2021;87,91;84,00;88,35;83,91
02.06.2021;84,70;87,79;88,47;84,60
01.06.2021;84,67;84,67;84,73;84,57
31.05.2021;78,95;79,29;79,53;78,67
28.05.2021;76,88;79,04;80,39;76,79
27.05.2021;75,29;76,68;77,38;75,16
26.05.2021;75,88;75,35;76,03;75,08
25.05.2021;74,08;74,53;75,08;73,33
24.05.2021;73,63;73,93;73,97;73,52
21.05.2021;76,36;73,52;76,63;73,38
18.05.2021;83,74;84,30;84,58;83,48
11.05.2021;86,98;87,89;87,89;86,94
10.05.2021;86,82;87,78;88,28;86,39
07.05.2021;84,75;86,54;86,70;84,11
06.05.2021;84,38;84,20;85,74;83,62
05.05.2021;85,21;84,22;85,92;83,60
04.05.2021;87,02;84,68;87,37;84,36
03.05.2021;83,13;82,88;83,17;82,88
30.04.2021;82,29;82,70;83,72;81,41
29.04.2021;83,93;82,22;84,32;80,47
28.04.2021;83,46;83,59;84,28;82,52
27.04.2021;82,34;83,34;83,94;81,77
26.04.2021;79,31;82,28;83,03;79,24
23.04.2021;80,39;79,29;80,44;78,20
22.04.2021;79,42;80,20;80,71;78,77
21.04.2021;78,37;79,23;79,79;76,87
20.04.2021;82,71;78,04;82,73;77,85
19.04.2021;81,04;82,67;83,50;80,65
16.04.2021;81,38;80,89;81,81;80,83
15.04.2021;82,37;81,38;83,30;80,70
14.04.2021;80,19;82,06;82,63;79,88
13.04.2021;82,23;80,06;82,54;79,50
12.04.2021;83,07;82,04;84,20;81,84
09.04.2021;84,29;83,08;84,70;82,47
08.04.2021;85,90;84,23;85,97;82,85
07.04.2021;82,42;85,73;86,39;82,35
06.04.2021;81,38;82,26;82,65;80,59
01.04.2021;84,13;80,70;85,61;77,94
31.03.2021;84,15;83,87;85,47;83,24
30.03.2021;81,22;84,10;84,43;81,22
29.03.2021;80,82;81,14;81,68;80,17
26.03.2021;81,42;80,73;81,71;80,24
25.03.2021;81,00;81,40;81,40;78,37
24.03.2021;79,76;81,09;81,83;79,71
22.03.2021;83,97;84,23;84,23;83,75
19.03.2021;86,77;84,30;86,82;83,38
18.03.2021;87,64;86,81;87,95;86,50
17.03.2021;87,54;87,54;87,89;86,35
16.03.2021;87,49;87,50;87,84;86,58
15.03.2021;86,36;87,09;88,08;86,32
12.03.2021;87,03;86,22;87,40;85,00
11.03.2021;86,09;87,17;87,38;85,73
08.03.2021;85,79;85,45;85,84;85,45
05.03.2021;88,80;85,80;89,39;85,21
04.03.2021;90,45;88,35;91,02;88,33
03.03.2021;90,32;90,68;91,18;90,10
02.03.2021;90,13;90,18;90,60;89,40
01.03.2021;89,07;90,34;91,84;88,98
26.02.2021;86,53;88,49;89,81;85,50
25.02.2021;87,81;86,89;89,55;86,61
24.02.2021;85,14;87,58;87,76;84,42
23.02.2021;83,59;85,13;87,58;83,56
22.02.2021;81,01;83,59;83,78;80,82
19.02.2021;79,59;81,28;81,48;79,15
18.02.2021;80,76;79,52;80,83;78,90
17.02.2021;81,08;80,86;81,64;79,73
16.02.2021;81,11;81,14;82,04;80,68
15.02.2021;78,91;81,10;81,60;78,83
12.02.2021;78,90;78,38;78,94;77,22
11.02.2021;77,84;78,88;79,21;76,88
09.02.2021;80,47;78,54;80,71;78,22
08.02.2021;80,72;80,38;80,79;79,28
05.02.2021;80,95;80,26;81,41;79,51
04.02.2021;80,20;80,56;81,00;80,17
03.02.2021;80,02;80,23;80,40;79,11
02.02.2021;78,64;79,39;79,97;78,55
01.02.2021;77,28;78,30;78,48;76,57
29.01.2021;78,05;76,55;79,29;76,39
28.01.2021;75,77;79,19;81,87;74,94
27.01.2021;73,66;76,32;78,06;73,12
26.01.2021;72,64;73,88;74,87;71,78
25.01.2021;75,34;72,71;75,37;72,48
22.01.2021;76,15;75,09;76,17;73,95
21.01.2021;78,85;76,40;79,42;76,24
20.01.2021;78,61;78,59;79,50;78,10
19.01.2021;76,99;77,92;78,49;76,93
18.01.2021;77,81;76,62;77,88;75,89
15.01.2021;77,84;78,14;78,90;76,65
14.01.2021;75,91;78,09;78,71;75,76
13.01.2021;77,16;75,68;77,19;75,46
12.01.2021;76,06;76,94;77,63;75,83
11.01.2021;77,72;75,81;77,84;75,12
08.01.2021;78,28;77,77;79,73;77,41
07.01.2021;78,34;77,68;78,66;76,24
06.01.2021;75,44;78,10;78,75;74,62
05.01.2021;73,85;75,11;75,55;73,12
04.01.2021;78,98;74,17;78,98;73,61
28.12.2020;74,38;73,87;74,43;73,87
24.12.2020;73,86;73,86;73,86;73,86
23.12.2020;71,48;74,00;74,12;71,46
22.12.2020;70,81;71,34;72,38;70,48
21.12.2020;70,61;70,96;71,09;67,93
18.12.2020;72,09;71,68;72,71;71,46
17.12.2020;73,73;72,27;74,18;72,05
16.12.2020;73,04;73,24;75,11;72,86
15.12.2020;72,61;73,00;73,00;71,42
14.12.2020;72,24;72,60;73,65;71,62
11.12.2020;72,66;71,75;73,43;69,97
10.12.2020;74,15;72,71;74,41;72,28
09.12.2020;73,81;73,80;75,42;73,74
08.12.2020;74,99;73,63;75,08;73,26
07.12.2020;74,33;75,06;75,24;73,71
04.12.2020;75,16;74,39;75,41;73,85
03.12.2020;74,22;75,13;75,99;73,32
02.12.2020;74,72;74,10;75,28;72,69
01.12.2020;73,27;74,91;75,03;73,17
30.11.2020;75,32;72,91;75,46;72,72
27.11.2020;76,01;75,59;76,20;74,76
26.11.2020;77,66;77,66;77,71;77,62
25.11.2020;78,63;77,56;79,81;77,18
24.11.2020;74,12;78,58;78,65;74,12
23.11.2020;74,33;73,74;74,50;73,48
20.11.2020;70,72;71,50;72,45;70,65
19.11.2020;73,30;70,97;73,83;70,78
18.11.2020;73,30;73,67;74,39;72,11
17.11.2020;72,81;73,50;73,54;71,13
16.11.2020;69,18;72,71;74,26;68,89
13.11.2020;68,05;68,72;69,32;67,05
12.11.2020;68,47;68,00;70,11;67,77
11.11.2020;71,11;68,97;72,16;67,44
10.11.2020;67,19;71,24;73,01;67,16
09.11.2020;57,22;67,21;73,42;57,22
06.11.2020;60,04;56,45;60,68;55,72
05.11.2020;61,95;60,55;62,38;59,74
04.11.2020;60,05;61,42;62,20;59,10
03.11.2020;59,50;60,88;61,20;58,92
30.10.2020;51,87;42,45;53,58;42,45
29.10.2020;53,06;52,99;54,10;51,58
28.10.2020;55,80;53,04;55,94;52,35
27.10.2020;59,02;56,59;59,02;55,72
26.10.2020;60,94;58,67;62,19;58,31
23.10.2020;58,26;62,19;62,30;57,55
22.10.2020;56,28;58,97;59,28;55,93
21.10.2020;60,01;56,50;60,34;56,01
20.10.2020;58,09;59,90;61,54;57,23
19.10.2020;55,86;58,01;58,30;55,29
15.10.2020;56,47;56,34;56,47;56,31
14.10.2020;57,31;56,83;57,68;54,77
13.10.2020;59,15;57,11;59,15;56,52
12.10.2020;59,17;59,29;59,62;58,30
09.10.2020;60,46;59,07;61,16;58,17
