"",BBSIS.D.I.ZST.B0.EUR.S1311.B.A604._Z.R.A.A._Z._Z.A,BBSIS.D.I.ZST.B0.EUR.S1311.B.A604._Z.R.A.A._Z._Z.A_FLAGS,BBSIS.D.I.ZST.B1.EUR.S1311.B.A604._Z.R.A.A._Z._Z.A,BBSIS.D.I.ZST.B1.EUR.S1311.B.A604._Z.R.A.A._Z._Z.A_FLAGS,BBSIS.D.I.ZST.B2.EUR.S1311.B.A604._Z.R.A.A._Z._Z.A,BBSIS.D.I.ZST.B2.EUR.S1311.B.A604._Z.R.A.A._Z._Z.A_FLAGS,BBSIS.D.I.ZST.B3.EUR.S1311.B.A604._Z.R.A.A._Z._Z.A,BBSIS.D.I.ZST.B3.EUR.S1311.B.A604._Z.R.A.A._Z._Z.A_FLAGS,BBSIS.D.I.ZST.T1.EUR.S1311.B.A604._Z.R.A.A._Z._Z.A,BBSIS.D.I.ZST.T1.EUR.S1311.B.A604._Z.R.A.A._Z._Z.A_FLAGS,BBSIS.D.I.ZST.T2.EUR.S1311.B.A604._Z.R.A.A._Z._Z.A,BBSIS.D.I.ZST.T2.EUR.S1311.B.A604._Z.R.A.A._Z._Z.A_FLAGS
"",Term structure of interest rates on listed Federalsecurities (method by Svensson) / Parameter Beta0 /daily data,,Term structure of interest rates on listed Federalsecurities (method by Svensson) / Parameter Beta1 /daily data,,Term structure of interest rates on listed Federalsecurities (method by Svensson) / Parameter Beta2 /daily data,,Term structure of interest rates on listed Federalsecurities (method by Svensson) / Parameter Beta3 /daily data,,Term structure of interest rates on listed Federalsecurities (method by Svensson) / Parameter Tau1 /daily data,,Term structure of interest rates on listed Federalsecurities (method by Svensson) / Parameter Tau2 /daily data,
unit,,,,,,,,,,,,
unit multiplier,one,,one,,one,,one,,one,,one,
last update,2021-07-09 13:55:23,,2021-07-09 13:55:23,,2021-07-09 13:55:23,,2021-07-09 13:55:24,,2021-07-09 13:55:24,,2021-07-09 13:55:24,
2019-06-01,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-06-02,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-06-03,0.97004,,-1.48715,,-0.92086,,-1.70291,,3.40863,,3.32630,
2019-06-04,0.88367,,-1.45529,,0.00510,,-3.85765,,1.11818,,2.73458,
2019-06-05,0.88367,,-1.45529,,0.00510,,-3.85765,,1.11818,,2.73458,
2019-06-06,0.87586,,-1.45512,,0.01020,,-3.99381,,1.04691,,2.70808,
2019-06-07,0.83281,,-1.39338,,0.01390,,-3.78202,,1.09074,,2.74886,
2019-06-08,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-06-09,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-06-10,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-06-11,0.84944,,-1.41517,,0.00087,,-3.83877,,1.07510,,2.68853,
2019-06-12,0.84944,,-1.41517,,0.00087,,-3.83877,,1.07510,,2.68853,
2019-06-13,0.83867,,-1.40159,,0.00174,,-3.75970,,1.16141,,2.77183,
2019-06-14,0.77433,,-1.33178,,0.00011,,-3.61584,,1.20375,,2.74475,
2019-06-15,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-06-16,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-06-17,0.81933,,-1.35209,,-2.62007,,0.15765,,3.26753,,4.16175,
2019-06-18,0.77500,,-1.32416,,-2.78963,,0.23859,,3.21293,,3.25176,
2019-06-19,0.76075,,-1.22685,,-2.73612,,-0.41283,,2.99876,,0.11451,
2019-06-20,0.71202,,-1.29089,,-3.10028,,0.59844,,2.83597,,2.07172,
2019-06-21,0.71202,,-1.29089,,-3.10028,,0.59844,,2.83597,,2.07172,
2019-06-22,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-06-23,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-06-24,0.74186,,-1.33952,,-2.38569,,0.04400,,3.24809,,0.05710,
2019-06-25,0.74186,,-1.33952,,-2.38569,,0.04400,,3.24809,,0.05710,
2019-06-26,0.75373,,-1.36575,,-2.36828,,0.05113,,3.43589,,2.86500,
2019-06-27,0.78391,,-1.36821,,-2.17575,,-0.29882,,3.19422,,4.90706,
2019-06-28,0.72057,,-1.23719,,-2.54116,,-0.23013,,3.11396,,0.14734,
2019-06-29,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-06-30,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-07-01,0.75520,,-1.22526,,-2.71602,,-0.37349,,3.12186,,0.16388,
2019-07-02,0.76641,,-1.29354,,-2.68742,,-0.21316,,3.26199,,0.16926,
2019-07-03,0.72811,,-1.33027,,-2.50672,,-0.01332,,3.42582,,0.15436,
2019-07-04,0.71407,,-1.31490,,-2.46249,,-0.02635,,3.46435,,0.70991,
2019-07-05,0.71363,,-1.33515,,-2.69494,,0.23399,,3.36018,,2.15410,
2019-07-06,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-07-07,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-07-08,0.72911,,-1.31298,,-2.45022,,-0.02403,,3.38709,,0.23867,
2019-07-09,0.75989,,-1.36534,,-2.43710,,0.03398,,3.34868,,0.16047,
2019-07-10,0.83242,,-1.40188,,-2.49380,,0.00212,,3.34025,,0.01003,
2019-07-11,0.80214,,-1.38669,,-2.49289,,0.00212,,3.29733,,0.01003,
2019-07-12,0.92612,,-1.51486,,-2.56070,,0.00212,,3.26847,,0.01003,
2019-07-13,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-07-14,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-07-15,0.87558,,-1.47239,,-2.53555,,0.00212,,3.27465,,0.01003,
2019-07-16,0.80535,,-1.40374,,-2.47245,,0.00212,,3.31100,,0.01003,
2019-07-17,0.79858,,-1.40062,,-1.40521,,-0.97081,,3.55969,,2.98624,
2019-07-18,0.77227,,-1.38358,,-0.96664,,-1.49388,,3.36800,,3.38468,
2019-07-19,0.83355,,-1.46219,,-2.55045,,0.01916,,3.52496,,0.13223,
2019-07-20,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-07-21,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-07-22,0.80584,,-1.41937,,-2.60591,,0.00120,,3.42414,,0.00826,
2019-07-23,0.81762,,-1.43691,,-2.58917,,0.00120,,3.50660,,0.00826,
2019-07-24,0.75918,,-1.38273,,-0.12577,,-3.03654,,2.26496,,3.42948,
2019-07-25,0.69296,,-1.33681,,0.09224,,-3.44258,,1.70464,,3.11725,
2019-07-26,0.74418,,-1.37748,,0.13689,,-3.51911,,1.72443,,3.15451,
2019-07-27,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-07-28,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-07-29,0.72592,,-1.44502,,-2.35258,,0.28720,,3.69620,,0.42790,
2019-07-30,0.73466,,-1.50160,,-2.25957,,0.40592,,3.82267,,0.39463,
2019-07-31,0.70385,,-1.47406,,-2.25035,,0.40735,,3.78412,,0.41592,
2019-08-01,0.63856,,-1.15494,,-2.58391,,-0.36632,,3.40857,,0.14059,
2019-08-02,0.50199,,-1.06556,,-2.41411,,-0.31566,,3.51006,,0.11697,
2019-08-03,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-08-04,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-08-05,0.40405,,-1.01393,,-2.21960,,-0.17166,,3.56920,,0.12242,
2019-08-06,0.41390,,-1.02889,,-2.29676,,-0.15615,,3.45965,,0.13743,
2019-08-07,0.27785,,-0.91363,,-2.14424,,-0.08361,,3.40264,,0.20048,
2019-08-08,0.35815,,-1.00972,,-2.28126,,-0.27188,,3.41061,,0.02324,
2019-08-09,0.39125,,-1.05193,,-2.34770,,-0.04844,,3.52817,,1.01262,
2019-08-10,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-08-11,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-08-12,0.35230,,-1.04670,,-2.30599,,0.40948,,3.44561,,0.01878,
2019-08-13,0.28863,,-1.01623,,-2.13249,,0.81896,,3.54698,,0.02747,
2019-08-14,0.25827,,-0.92345,,-2.27307,,0.05119,,3.35610,,0.01782,
2019-08-15,0.23020,,-0.91535,,-0.45669,,-1.35415,,5.89305,,2.88853,
2019-08-16,0.17969,,-0.86876,,-1.73060,,-0.39250,,4.38571,,1.56515,
2019-08-17,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2019-08-18,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
